Anchor_1,Anchor_2,Anchor_3,Node_1_Ranges,Node_2_Ranges,Node_3_Ranges,Node_4_Ranges,Node_5_Ranges,Node_6_Ranges,Node_7_Ranges,Node_8_Ranges,Node_9_Ranges,Node_10_Ranges,Node_11_Ranges,Node_12_Ranges,Node_13_Ranges,Node_14_Ranges,Node_15_Ranges,Node_16_Ranges,Node_17_Ranges,Node_18_Ranges,Node_19_Ranges,Node_20_Ranges,Node_21_Ranges,Node_22_Ranges,Node_23_Ranges,Node_24_Ranges,Node_25_Ranges,Node_26_Ranges,Node_27_Ranges,Node_28_Ranges,Node_29_Ranges,Node_30_Ranges,Node_31_Ranges,Node_32_Ranges,Node_33_Ranges,Node_34_Ranges,Node_35_Ranges,Node_36_Ranges,Node_37_Ranges,Node_38_Ranges,Node_39_Ranges,Node_40_Ranges,Node_41_Ranges,Node_42_Ranges,Node_43_Ranges,Node_44_Ranges,Node_45_Ranges,Node_46_Ranges,Node_47_Ranges,Node_48_Ranges,Node_49_Ranges,Node_50_Ranges
"(76, 73)","(39, 32)","(30, 29)","(27.07, 37.70, 47.17)","(26.25, 57.94, 67.42)","(61.85, 26.25, 22.83)","(62.17, 58.18, 57.97)","(77.18, 25.18, 22.80)","(13.04, 45.61, 54.64)","(43.42, 48.01, 57.04)","(19.85, 74.97, 83.49)","(37.01, 18.44, 27.46)","(70.60, 32.45, 36.12)","(8.06, 49.41, 57.38)","(98.49, 44.10, 35.00)","(12.08, 43.86, 52.63)","(16.76, 48.88, 58.18)","(22.85, 34.41, 43.57)","(11.40, 65.60, 73.66)","(42.72, 49.00, 58.08)","(38.01, 42.01, 45.71)","(75.07, 19.85, 12.65)","(35.01, 36.50, 45.89)","(72.56, 22.02, 21.47)","(79.40, 74.95, 73.41)","(54.59, 46.84, 54.92)","(55.15, 58.86, 67.36)","(65.55, 64.20, 72.03)","(52.39, 58.42, 67.12)","(64.47, 21.10, 25.00)","(9.06, 60.96, 69.81)","(55.97, 56.29, 64.63)","(72.11, 45.28, 50.48)","(41.15, 19.42, 28.86)","(66.85, 14.04, 13.60)","(26.42, 80.72, 89.50)","(72.84, 18.03, 9.22)","(86.05, 31.06, 24.35)","(13.93, 51.88, 59.08)","(63.35, 54.23, 61.68)","(49.20, 7.28, 16.76)","(81.63, 33.02, 24.08)","(30.15, 41.48, 50.96)","(93.86, 40.25, 30.89)","(24.41, 57.57, 63.56)","(84.06, 31.05, 27.02)","(30.61, 85.80, 94.07)","(58.52, 63.60, 64.63)","(45.40, 31.26, 40.01)","(49.03, 52.17, 54.04)","(63.63, 14.87, 17.80)","(60.42, 58.31, 58.46)","(24.17, 77.99, 86.83)"
"(65, 30)","(95, 25)","(75, 35)","(85.04, 112.06, 89.87)","(7.62, 33.06, 17.69)","(36.67, 66.41, 44.38)","(57.56, 65.79, 52.04)","(19.00, 38.42, 17.20)","(55.23, 78.64, 57.31)","(16.55, 30.48, 10.44)","(57.98, 54.01, 48.75)","(35.85, 13.04, 31.14)","(64.28, 77.83, 61.13)","(52.77, 60.75, 47.01)","(49.00, 61.77, 45.12)","(86.28, 112.20, 90.27)","(64.88, 94.58, 72.42)","(57.31, 87.01, 67.90)","(58.69, 79.31, 59.08)","(20.12, 18.44, 8.94)","(18.36, 44.29, 21.95)","(58.31, 85.70, 69.46)","(60.01, 71.18, 55.73)","(43.84, 70.83, 48.55)","(66.61, 90.79, 69.30)","(51.66, 80.40, 62.64)","(64.20, 88.87, 67.21)","(33.54, 11.40, 23.02)","(19.65, 11.00, 13.45)","(74.32, 73.00, 66.10)","(36.14, 6.40, 28.65)","(43.05, 69.12, 54.20)","(22.14, 15.00, 11.18)","(33.12, 27.78, 34.53)","(35.69, 65.03, 46.57)","(15.81, 22.47, 18.03)","(28.16, 46.67, 26.42)","(25.18, 44.60, 23.85)","(43.83, 70.61, 55.01)","(44.55, 54.13, 39.12)","(38.59, 62.80, 41.04)","(58.05, 88.46, 67.27)","(44.64, 63.78, 43.91)","(21.19, 50.04, 32.31)","(46.53, 75.96, 53.76)","(40.00, 65.46, 43.42)","(27.73, 57.57, 35.69)","(51.89, 73.54, 52.80)","(6.40, 27.86, 6.00)","(55.00, 79.81, 58.05)","(20.40, 13.45, 10.05)","(35.11, 56.64, 35.61)","(23.00, 8.60, 13.93)"
"(13, 36)","(62, 76)","(66, 52)","(49.16, 44.00, 20.40)","(60.07, 50.16, 66.60)","(17.69, 66.71, 65.07)","(58.25, 73.01, 49.25)","(16.49, 55.00, 42.06)","(27.07, 43.91, 29.53)","(71.12, 74.33, 50.01)","(41.73, 22.36, 27.78)","(77.25, 25.94, 22.47)","(92.48, 82.73, 59.91)","(57.01, 30.87, 48.92)","(22.67, 63.63, 47.51)","(12.21, 51.09, 43.93)","(6.08, 58.05, 49.34)","(51.16, 54.13, 66.89)","(52.40, 14.04, 29.21)","(33.12, 76.49, 58.26)","(3.00, 65.60, 58.24)","(85.23, 24.33, 34.41)","(62.24, 65.49, 41.19)","(45.54, 55.33, 32.57)","(48.27, 72.01, 49.65)","(65.62, 51.55, 27.73)","(87.46, 62.01, 42.20)","(46.17, 26.48, 9.22)","(16.28, 51.88, 50.00)","(71.59, 75.31, 50.99)","(19.85, 62.97, 47.80)","(48.10, 76.69, 54.78)","(96.52, 34.01, 46.62)","(27.80, 63.07, 45.28)","(27.78, 36.07, 29.07)","(33.96, 50.60, 31.24)","(69.78, 29.83, 52.33)","(75.11, 44.41, 25.06)","(31.30, 33.42, 25.08)","(35.01, 41.44, 23.43)","(52.40, 75.66, 52.89)","(63.98, 28.43, 49.40)","(64.85, 24.70, 9.49)","(32.56, 83.86, 67.18)","(44.27, 35.06, 46.87)","(57.87, 42.54, 59.41)","(61.98, 52.39, 28.16)","(26.40, 38.08, 37.34)","(63.15, 53.60, 29.41)","(62.59, 55.32, 31.05)","(24.08, 79.40, 64.82)","(62.03, 62.65, 38.33)","(46.24, 23.77, 10.05)"
"(87, 70)","(71, 15)","(88, 36)","(27.89, 36.24, 9.22)","(31.02, 45.88, 37.80)","(51.04, 63.51, 61.06)","(79.12, 63.98, 75.24)","(77.10, 40.05, 60.08)","(42.72, 15.03, 17.09)","(79.08, 71.34, 79.62)","(29.07, 54.57, 43.86)","(60.22, 38.59, 50.01)","(46.49, 48.83, 48.85)","(57.57, 1.00, 27.66)","(13.00, 55.08, 36.77)","(71.31, 57.31, 67.36)","(40.72, 18.03, 18.25)","(31.32, 25.96, 10.77)","(37.59, 22.09, 19.03)","(27.29, 42.45, 15.62)","(49.03, 55.22, 54.56)","(78.19, 100.69, 96.54)","(89.55, 68.68, 83.02)","(65.95, 27.46, 46.82)","(47.63, 87.56, 74.43)","(70.72, 33.24, 52.81)","(31.38, 88.54, 63.95)","(82.10, 32.70, 58.01)","(69.26, 90.97, 86.68)","(37.05, 60.75, 52.35)","(21.38, 78.59, 55.08)","(69.64, 93.81, 88.53)","(48.55, 17.20, 27.89)","(31.06, 29.02, 19.70)","(102.34, 69.03, 89.02)","(98.01, 70.46, 87.97)","(87.32, 107.62, 104.81)","(96.60, 70.86, 87.57)","(84.72, 77.03, 85.70)","(70.84, 13.89, 40.80)","(51.00, 42.45, 47.07)","(77.10, 37.01, 58.31)","(75.03, 82.04, 84.10)","(66.03, 17.80, 32.14)","(22.47, 43.10, 29.73)","(32.31, 45.22, 38.01)","(38.33, 18.97, 11.40)","(61.61, 20.62, 40.31)","(81.63, 55.54, 71.45)","(57.28, 27.78, 41.59)","(86.09, 91.55, 94.94)","(56.44, 62.48, 63.07)","(25.08, 81.22, 59.08)"
"(22, 92)","(45, 78)","(34, 52)","(77.13, 61.20, 35.51)","(17.00, 23.19, 25.94)","(38.95, 20.40, 9.22)","(45.35, 32.31, 4.12)","(93.62, 73.35, 52.35)","(48.37, 32.02, 58.41)","(29.21, 4.00, 24.60)","(67.20, 43.46, 31.30)","(41.73, 17.09, 19.72)","(37.66, 15.65, 41.40)","(80.01, 54.13, 65.73)","(56.75, 41.98, 15.13)","(36.25, 42.49, 27.89)","(20.62, 9.49, 35.90)","(29.41, 3.16, 25.94)","(70.21, 55.90, 29.02)","(41.05, 20.00, 12.53)","(69.23, 54.92, 28.02)","(72.34, 65.30, 37.22)","(104.66, 78.64, 71.12)","(85.33, 70.46, 44.10)","(73.00, 51.92, 72.95)","(29.07, 42.76, 35.85)","(21.26, 9.22, 24.08)","(69.05, 55.11, 28.00)","(48.70, 32.76, 7.21)","(37.48, 37.01, 18.25)","(32.98, 23.77, 52.00)","(52.01, 28.46, 20.02)","(69.05, 45.04, 62.61)","(70.58, 64.50, 36.62)","(83.02, 73.39, 45.22)","(67.19, 42.11, 57.78)","(44.41, 17.69, 27.78)","(6.32, 29.00, 47.07)","(89.96, 69.43, 48.88)","(88.36, 75.50, 48.17)","(76.32, 53.76, 37.54)","(64.51, 38.64, 52.55)","(62.00, 53.23, 25.06)","(35.74, 23.32, 6.08)","(42.05, 24.84, 51.61)","(18.44, 37.05, 38.21)","(22.47, 4.47, 28.86)","(56.30, 33.96, 20.25)","(68.07, 63.51, 36.12)","(87.13, 64.26, 48.08)","(52.89, 38.08, 11.18)","(65.15, 39.46, 53.85)","(26.08, 27.73, 19.80)"
"(47, 79)","(100, 36)","(49, 57)","(72.57, 47.20, 50.70)","(34.13, 49.77, 40.61)","(78.00, 63.51, 56.04)","(62.97, 10.44, 47.51)","(25.30, 84.58, 29.53)","(42.76, 36.69, 42.38)","(41.44, 58.69, 51.62)","(26.25, 93.19, 40.36)","(67.19, 53.67, 45.10)","(45.88, 28.79, 41.44)","(79.81, 46.69, 58.19)","(74.30, 91.68, 57.38)","(48.92, 19.42, 36.40)","(36.12, 49.04, 42.20)","(19.03, 54.04, 27.02)","(22.14, 50.99, 5.10)","(19.42, 76.06, 21.10)","(71.85, 95.35, 56.73)","(14.32, 79.91, 36.35)","(34.44, 35.61, 29.83)","(37.00, 65.49, 19.10)","(18.36, 63.82, 34.01)","(58.18, 15.13, 49.37)","(48.51, 60.21, 27.51)","(21.02, 87.68, 42.45)","(24.74, 91.27, 38.21)","(43.05, 92.42, 39.00)","(32.56, 77.37, 24.08)","(43.19, 86.15, 34.71)","(83.82, 25.32, 65.76)","(40.25, 71.34, 24.41)","(76.16, 46.75, 54.41)","(37.12, 37.36, 18.60)","(37.05, 55.33, 15.52)","(17.12, 83.22, 30.61)","(46.96, 64.94, 58.73)","(12.17, 76.85, 24.41)","(36.14, 38.47, 35.47)","(25.08, 57.87, 5.00)","(33.62, 41.76, 14.21)","(49.09, 26.08, 31.40)","(70.29, 98.62, 56.86)","(52.17, 54.04, 59.08)","(24.70, 92.80, 41.88)","(5.39, 63.13, 20.22)","(17.00, 76.48, 22.02)","(54.23, 49.24, 32.14)","(17.80, 70.80, 37.11)","(59.67, 68.66, 39.40)","(64.01, 85.00, 47.38)"
"(5, 71)","(53, 29)","(13, 34)","(68.36, 52.92, 74.40)","(50.01, 43.05, 56.64)","(43.91, 22.36, 33.54)","(100.40, 38.28, 78.10)","(72.84, 10.44, 45.54)","(71.31, 23.43, 58.86)","(51.66, 55.04, 65.30)","(68.95, 33.97, 31.76)","(56.86, 19.42, 46.17)","(103.46, 41.44, 81.25)","(94.30, 31.95, 71.81)","(20.88, 45.61, 33.24)","(41.01, 43.57, 50.33)","(66.41, 34.21, 29.07)","(79.51, 45.28, 76.32)","(79.20, 16.16, 56.09)","(95.00, 31.76, 70.88)","(14.21, 63.01, 46.10)","(85.09, 34.54, 72.44)","(32.14, 46.10, 7.07)","(9.90, 53.91, 30.02)","(85.09, 26.00, 66.19)","(50.36, 48.04, 60.11)","(30.15, 52.39, 13.04)","(62.97, 54.82, 72.25)","(42.20, 68.45, 67.23)","(82.86, 35.36, 72.01)","(104.10, 42.72, 82.76)","(71.17, 26.17, 60.42)","(91.76, 39.29, 78.16)","(63.00, 44.60, 66.29)","(94.89, 35.23, 75.54)","(76.84, 13.42, 53.15)","(16.16, 70.80, 52.04)","(59.84, 33.84, 57.71)","(64.13, 56.04, 73.66)","(85.62, 72.07, 94.81)","(76.28, 15.03, 55.33)","(73.38, 29.73, 63.79)","(87.21, 53.08, 84.86)","(71.81, 42.52, 33.96)","(49.34, 33.38, 12.21)","(31.02, 39.22, 8.54)","(29.07, 76.48, 63.20)","(81.40, 18.38, 58.25)","(39.20, 39.05, 45.28)","(68.31, 35.47, 30.87)","(8.06, 57.28, 36.00)","(42.45, 53.46, 58.25)","(69.64, 24.04, 58.25)"
"(99, 56)","(29, 44)","(69, 9)","(44.55, 32.20, 55.79)","(100.46, 34.71, 63.64)","(27.51, 62.59, 29.70)","(78.45, 12.08, 51.00)","(41.04, 45.69, 17.12)","(14.42, 66.48, 62.97)","(67.90, 40.82, 19.00)","(40.79, 68.03, 23.09)","(80.96, 37.66, 85.98)","(26.93, 73.57, 76.54)","(37.36, 76.84, 85.38)","(101.55, 44.94, 56.44)","(12.17, 68.00, 44.82)","(13.00, 74.33, 67.08)","(36.88, 60.96, 75.24)","(34.93, 71.22, 80.60)","(64.03, 34.41, 21.19)","(42.15, 31.26, 32.28)","(64.66, 48.38, 84.77)","(35.74, 74.81, 83.20)","(95.63, 50.70, 101.02)","(16.76, 54.45, 44.27)","(67.98, 42.95, 83.01)","(53.49, 63.60, 11.40)","(76.79, 23.77, 74.03)","(77.41, 25.08, 39.29)","(18.79, 68.45, 67.68)","(41.59, 33.73, 28.86)","(91.79, 34.48, 50.04)","(50.00, 34.06, 63.60)","(68.95, 12.08, 42.44)","(17.12, 54.82, 50.70)","(70.71, 46.69, 87.09)","(87.66, 44.64, 93.74)","(34.21, 42.54, 56.08)","(66.71, 36.36, 21.38)","(54.20, 27.46, 26.25)","(63.66, 40.00, 16.28)","(76.97, 20.00, 42.72)","(34.41, 42.76, 27.07)","(71.78, 11.18, 44.94)","(98.98, 49.24, 100.90)","(44.27, 38.21, 62.17)","(24.41, 56.36, 61.81)","(88.68, 56.44, 102.42)","(23.41, 48.17, 39.81)","(88.41, 42.00, 40.61)","(57.25, 58.80, 5.66)","(44.18, 30.53, 52.89)","(96.00, 28.64, 81.02)"
"(73, 20)","(85, 81)","(12, 59)","(60.83, 88.23, 29.02)","(47.43, 26.63, 88.00)","(71.84, 114.55, 59.54)","(21.47, 77.47, 64.54)","(35.81, 45.97, 41.23)","(48.26, 14.76, 66.61)","(38.28, 43.93, 40.61)","(38.01, 25.50, 62.01)","(10.00, 55.97, 63.13)","(100.42, 82.73, 34.21)","(65.60, 52.77, 24.70)","(40.80, 30.46, 85.21)","(44.92, 73.00, 31.62)","(75.01, 67.74, 13.42)","(44.41, 24.76, 55.23)","(31.62, 45.22, 89.50)","(60.64, 103.28, 53.04)","(54.56, 71.34, 19.21)","(49.77, 16.55, 80.31)","(82.81, 73.17, 17.00)","(80.99, 81.79, 8.60)","(64.62, 80.95, 15.03)","(16.64, 74.67, 67.18)","(68.26, 48.09, 31.40)","(76.42, 68.59, 13.93)","(75.43, 116.73, 59.23)","(58.86, 3.61, 73.50)","(72.78, 113.22, 55.90)","(85.70, 84.01, 13.45)","(50.70, 95.90, 53.37)","(35.36, 41.73, 44.72)","(27.46, 57.80, 44.94)","(64.94, 90.97, 28.16)","(13.42, 55.00, 80.11)","(45.35, 91.21, 52.81)","(51.20, 25.50, 51.20)","(73.98, 12.00, 80.53)","(79.43, 17.26, 85.42)","(55.23, 94.05, 44.41)","(53.34, 21.21, 88.28)","(71.59, 111.80, 54.74)","(78.64, 71.57, 13.15)","(97.20, 72.03, 39.12)","(32.02, 81.30, 55.76)","(44.20, 46.87, 34.23)","(63.60, 6.00, 82.01)","(32.98, 29.27, 69.35)","(26.17, 51.61, 47.42)","(59.03, 16.12, 88.12)","(34.23, 28.16, 65.19)"
"(21, 95)","(71, 99)","(51, 19)","(75.66, 57.14, 33.24)","(75.00, 25.32, 88.32)","(87.11, 69.46, 30.08)","(87.01, 104.32, 32.89)","(74.20, 63.20, 22.67)","(19.10, 69.03, 92.11)","(99.01, 95.63, 17.49)","(50.61, 36.40, 46.10)","(66.49, 23.43, 71.20)","(96.46, 98.27, 16.03)","(94.24, 94.92, 13.04)","(72.84, 55.04, 33.30)","(79.23, 30.68, 85.45)","(50.48, 50.99, 34.06)","(45.31, 56.61, 36.40)","(76.40, 65.12, 21.93)","(85.80, 86.12, 4.12)","(16.12, 34.06, 79.25)","(98.08, 100.44, 18.11)","(73.93, 75.00, 8.06)","(101.21, 92.00, 23.32)","(80.45, 50.33, 50.33)","(20.10, 30.07, 78.64)","(27.02, 59.68, 57.98)","(69.63, 44.55, 45.00)","(66.41, 28.18, 64.14)","(49.82, 36.69, 45.89)","(103.28, 81.74, 41.01)","(18.44, 32.00, 80.89)","(62.65, 88.53, 41.44)","(16.49, 34.00, 81.22)","(59.20, 69.84, 23.60)","(45.88, 60.61, 36.24)","(26.48, 24.02, 81.10)","(84.76, 86.83, 4.47)","(25.08, 30.41, 66.37)","(95.77, 88.09, 17.89)","(81.50, 103.47, 39.32)","(78.52, 101.02, 39.05)","(80.60, 89.69, 14.32)","(81.61, 86.02, 6.32)","(112.04, 91.92, 43.93)","(81.49, 88.26, 10.44)","(65.00, 94.05, 47.80)","(87.09, 101.97, 28.23)","(63.01, 41.01, 44.29)","(28.16, 56.86, 55.07)","(18.87, 63.25, 72.11)","(6.32, 44.41, 77.79)","(104.65, 98.08, 24.08)"
"(70, 25)","(63, 74)","(52, 14)","(83.63, 39.70, 88.07)","(65.12, 41.30, 62.65)","(46.69, 15.30, 62.65)","(71.51, 41.19, 70.68)","(25.71, 57.87, 8.60)","(8.00, 51.24, 28.23)","(36.72, 30.23, 56.08)","(61.98, 80.72, 43.00)","(13.60, 62.97, 22.09)","(58.94, 23.41, 75.58)","(15.52, 57.38, 33.73)","(16.64, 35.06, 26.57)","(12.04, 61.52, 19.03)","(34.89, 29.21, 54.04)","(26.40, 49.04, 47.41)","(40.36, 43.05, 61.22)","(71.51, 95.27, 50.96)","(36.62, 33.84, 56.59)","(71.59, 61.03, 62.37)","(48.37, 68.60, 30.41)","(43.66, 48.08, 34.71)","(48.09, 61.62, 33.11)","(43.57, 66.57, 25.32)","(51.66, 34.01, 50.16)","(47.51, 42.20, 41.88)","(56.04, 67.90, 40.16)","(80.16, 54.08, 76.28)","(49.16, 3.00, 61.61)","(37.05, 15.00, 52.00)","(34.48, 21.47, 41.01)","(65.28, 20.62, 79.70)","(60.01, 13.60, 73.50)","(41.79, 12.81, 50.09)","(70.58, 26.40, 85.38)","(21.95, 65.39, 37.00)","(32.28, 46.65, 23.85)","(17.03, 53.67, 37.00)","(66.19, 55.36, 57.98)","(66.10, 63.06, 54.64)","(76.06, 52.01, 71.85)","(28.84, 73.55, 13.15)","(8.06, 56.08, 14.56)","(54.23, 13.00, 68.95)","(55.23, 6.32, 67.27)","(27.00, 52.92, 14.21)","(68.88, 68.48, 55.95)","(80.61, 50.64, 78.39)","(53.85, 77.42, 34.13)","(16.40, 36.12, 25.30)","(4.47, 47.10, 19.10)"
"(62, 95)","(100, 74)","(94, 53)","(36.35, 36.25, 27.66)","(49.40, 80.16, 75.71)","(62.13, 31.26, 10.20)","(37.12, 44.01, 35.36)","(66.00, 58.90, 40.00)","(94.83, 72.57, 50.80)","(75.77, 49.82, 28.16)","(28.28, 58.01, 56.46)","(71.17, 49.98, 28.23)","(68.43, 99.50, 93.65)","(36.14, 73.98, 74.69)","(44.65, 20.62, 8.60)","(82.22, 100.72, 88.29)","(12.08, 44.15, 48.27)","(67.72, 72.01, 55.95)","(85.60, 101.53, 87.93)","(68.54, 77.39, 62.63)","(37.54, 14.76, 15.65)","(91.35, 109.59, 96.57)","(37.00, 77.88, 80.78)","(5.10, 48.30, 56.73)","(57.14, 86.58, 80.75)","(55.61, 75.58, 66.03)","(74.43, 70.18, 51.22)","(65.55, 73.78, 59.14)","(48.26, 50.77, 37.48)","(52.50, 88.14, 86.02)","(51.04, 70.21, 61.00)","(35.47, 27.73, 21.02)","(58.69, 92.02, 88.07)","(68.00, 39.46, 18.00)","(32.02, 73.38, 77.10)","(83.53, 96.04, 81.34)","(75.24, 69.66, 50.33)","(21.63, 50.09, 50.12)","(8.06, 48.10, 54.45)","(64.01, 77.37, 64.54)","(74.06, 101.20, 93.00)","(52.09, 91.78, 92.61)","(69.35, 42.95, 21.21)","(18.68, 25.61, 39.56)","(81.05, 64.08, 42.49)","(93.56, 74.04, 52.20)","(37.34, 52.89, 45.54)","(54.33, 93.21, 93.23)","(28.44, 43.57, 39.56)","(38.95, 23.02, 15.26)","(36.69, 30.41, 22.14)","(37.85, 76.12, 76.92)","(90.25, 90.55, 71.84)"
"(67, 90)","(99, 8)","(47, 44)","(96.18, 77.06, 46.32)","(5.83, 87.24, 45.54)","(67.12, 21.38, 50.29)","(79.63, 79.83, 32.20)","(55.01, 118.87, 57.01)","(40.72, 47.43, 38.08)","(69.38, 117.89, 54.71)","(53.81, 79.92, 17.09)","(66.85, 97.49, 35.90)","(56.32, 32.25, 36.88)","(73.17, 28.46, 36.80)","(58.86, 48.37, 15.62)","(79.12, 8.94, 55.57)","(57.43, 125.87, 64.64)","(38.64, 58.80, 15.26)","(87.00, 32.39, 45.62)","(53.37, 36.06, 32.56)","(45.79, 70.60, 8.06)","(56.73, 87.46, 24.70)","(89.01, 31.78, 47.85)","(54.78, 60.54, 5.00)","(58.41, 90.55, 27.86)","(26.17, 98.01, 43.42)","(10.05, 79.20, 40.71)","(87.05, 92.76, 42.95)","(56.32, 108.41, 45.34)","(55.80, 37.01, 53.01)","(49.65, 51.86, 12.37)","(49.40, 40.45, 46.17)","(33.84, 87.00, 28.16)","(34.93, 62.48, 16.97)","(62.63, 25.50, 43.01)","(77.37, 14.76, 48.60)","(73.01, 99.01, 39.12)","(93.30, 63.29, 43.42)","(22.47, 104.45, 54.01)","(74.69, 66.71, 24.70)","(24.74, 76.42, 59.46)","(40.26, 101.12, 40.71)","(53.34, 47.80, 15.65)","(82.73, 69.46, 32.76)","(65.76, 67.42, 16.28)","(44.91, 118.56, 60.01)","(70.34, 19.80, 43.91)","(10.44, 98.43, 58.52)","(62.37, 28.32, 36.25)","(38.63, 65.05, 11.66)","(72.11, 57.72, 22.36)","(19.70, 91.08, 66.03)","(74.46, 51.97, 26.02)"
"(23, 90)","(84, 67)","(60, 73)","(49.09, 38.47, 26.00)","(82.15, 21.93, 42.01)","(52.04, 65.74, 49.50)","(52.39, 85.73, 65.76)","(65.39, 3.16, 24.70)","(51.04, 19.92, 13.00)","(50.60, 51.48, 37.44)","(17.46, 65.28, 41.00)","(37.16, 47.30, 27.80)","(35.61, 33.02, 10.30)","(74.22, 65.19, 58.19)","(22.80, 43.93, 19.24)","(73.68, 71.42, 62.17)","(51.40, 21.54, 14.56)","(46.53, 20.02, 6.40)","(85.15, 32.25, 47.20)","(58.87, 88.02, 69.34)","(104.89, 56.57, 69.77)","(45.18, 83.74, 62.39)","(38.59, 42.20, 23.35)","(86.31, 98.08, 85.60)","(14.21, 71.02, 46.39)","(20.62, 82.98, 58.25)","(44.28, 69.26, 49.93)","(100.77, 54.15, 66.21)","(29.61, 36.24, 13.60)","(37.01, 33.94, 18.00)","(71.20, 87.66, 72.86)","(14.87, 80.06, 55.54)","(78.16, 85.91, 74.06)","(37.80, 31.00, 9.22)","(2.24, 63.69, 39.36)","(50.16, 47.01, 33.62)","(93.23, 67.78, 69.01)","(45.71, 34.89, 26.25)","(62.65, 48.80, 41.48)","(26.63, 39.81, 15.13)","(85.56, 37.00, 49.24)","(33.54, 32.76, 11.70)","(87.86, 76.28, 71.57)","(79.51, 28.00, 41.62)","(85.16, 96.67, 84.20)","(45.28, 69.57, 50.48)","(90.80, 83.01, 77.16)","(88.77, 104.20, 90.79)","(53.71, 46.87, 35.34)","(89.63, 78.49, 73.76)","(59.41, 64.90, 51.61)","(55.79, 81.15, 63.01)","(41.77, 30.41, 12.53)"
"(59, 60)","(100, 32)","(14, 87)","(37.05, 77.94, 44.15)","(23.35, 58.05, 52.70)","(28.18, 59.94, 58.03)","(35.11, 67.54, 57.31)","(16.55, 43.60, 63.25)","(69.43, 90.25, 79.01)","(71.28, 100.72, 68.45)","(18.60, 32.70, 70.00)","(46.69, 75.11, 60.02)","(48.76, 97.08, 14.14)","(58.14, 16.28, 109.22)","(34.21, 68.88, 54.33)","(65.07, 89.63, 72.03)","(57.38, 106.83, 11.18)","(31.40, 74.81, 40.20)","(35.85, 85.44, 16.64)","(56.60, 89.02, 57.08)","(54.45, 103.71, 12.53)","(49.37, 40.82, 91.53)","(40.11, 80.99, 43.97)","(51.00, 86.09, 51.00)","(43.46, 26.83, 91.29)","(40.31, 57.71, 70.26)","(38.01, 72.25, 50.96)","(61.47, 110.48, 12.65)","(51.48, 23.35, 100.42)","(34.54, 80.72, 32.39)","(46.32, 19.42, 96.21)","(37.66, 85.49, 21.54)","(36.06, 68.45, 57.43)","(54.20, 84.15, 60.03)","(45.89, 93.62, 18.00)","(61.03, 99.41, 47.80)","(59.44, 100.13, 42.06)","(59.91, 23.41, 109.60)","(36.80, 16.03, 88.41)","(33.24, 45.28, 72.67)","(41.04, 69.03, 59.48)","(32.89, 19.72, 84.97)","(61.13, 64.88, 90.76)","(33.84, 22.00, 84.39)","(42.20, 64.03, 70.35)","(37.16, 43.57, 79.91)","(12.37, 42.45, 61.85)","(35.51, 14.21, 87.98)","(59.41, 78.59, 75.66)","(24.21, 73.11, 31.05)","(38.90, 79.62, 39.81)","(25.94, 43.86, 69.63)","(32.89, 73.98, 40.50)"
"(99, 39)","(10, 31)","(31, 100)","(75.95, 14.56, 73.33)","(102.46, 51.16, 30.81)","(58.18, 84.86, 41.23)","(86.00, 8.54, 63.60)","(61.66, 105.65, 59.00)","(77.23, 76.16, 17.26)","(92.09, 5.00, 69.29)","(62.68, 56.73, 30.53)","(33.14, 89.56, 114.28)","(59.41, 49.09, 98.06)","(85.71, 5.00, 73.98)","(89.44, 48.84, 24.19)","(12.53, 83.05, 95.02)","(59.24, 36.77, 84.01)","(88.24, 28.16, 96.88)","(109.77, 63.29, 27.66)","(59.30, 106.67, 62.03)","(57.87, 32.06, 71.85)","(80.53, 30.53, 95.13)","(66.01, 24.04, 62.03)","(80.62, 73.79, 12.37)","(90.14, 13.04, 60.17)","(56.08, 34.79, 59.23)","(30.02, 92.65, 114.20)","(19.92, 87.28, 74.89)","(43.14, 70.72, 48.41)","(75.43, 62.65, 16.64)","(65.73, 82.33, 32.56)","(83.52, 33.24, 38.90)","(75.96, 39.36, 34.13)","(49.04, 55.95, 96.77)","(63.98, 46.75, 35.44)","(33.24, 73.35, 58.26)","(73.82, 24.84, 50.25)","(57.49, 99.36, 55.23)","(45.10, 45.35, 62.39)","(63.63, 52.50, 31.78)","(62.13, 27.29, 65.28)","(32.80, 71.31, 99.36)","(60.17, 35.85, 83.86)","(69.84, 50.48, 27.89)","(26.42, 66.19, 86.61)","(32.76, 85.44, 111.22)","(90.91, 68.68, 3.61)","(43.01, 69.46, 105.19)","(45.45, 73.82, 46.87)","(51.66, 66.71, 39.70)","(22.20, 67.19, 78.82)","(50.80, 42.54, 55.03)","(46.96, 48.76, 86.02)"
